sprint,label_scheme,split_id,seed,model_name,feature_set,graph_schema,visibility_policy,target_node_representation,target_semantics,loss,checkpoint_selection_split,threshold_selection_split,threshold,best_epoch,epochs_ran,best_val_auprc,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,test_rows,test_positive_rate,test_auprc,test_auroc,test_f1,test_mcc,notes
sprint4,scheme_a,sprint2_main_seed42,42,gcn_graph_a,S1_pair+F1,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,,weighted_bce,validation,validation,0.1096112206578254,10,25,0.9110210865306309,xgboost_unweighted / F4,0.992522,0.938416,0.345198,1702,0.900705052878966,0.966286890665716,0.7450757882791603,0.9518449030644152,0.3007805554282674,Graph A minimal GCN smoke-capable path; no test-driven selection; no Graph C/B run
sprint4,scheme_a,sprint2_main_seed42,42,gcn_graph_c,CandidatePair+TargetObservationContext,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,observation_level_context_target,weighted_bce,validation,validation,0.0706665888428688,42,57,0.9817040140195098,xgboost_unweighted / F4,0.992522,0.938416,0.345198,1702,0.900705052878966,0.96158605630183,0.7598860570409569,0.9588955130216504,0.4537375293609119,Graph C GCN path uses target_observation context node encoding; Graph C changes both topology and target semantics; no test-driven selection; no Graph B run
